Date,Sales
2022-08-09,195.57
2022-08-10,154.32
2022-08-11,180.41
2022-08-12,157.95
2022-08-13,169.87
2022-08-14,185.97
2022-08-15,176.19
2022-08-16,165.22
2022-08-17,169.28
2022-08-18,183.63
2022-08-19,169.92
2022-08-20,179.75
2022-08-21,178.38
2022-08-22,171.73
2022-08-23,199.98
2022-08-24,185.16
2022-08-25,158.82
2022-08-26,181.17
2022-08-27,172.89
2022-08-28,188.22
2022-08-29,171.94
2022-08-30,178.86
2022-08-31,185.17
2022-09-01,188.88
2022-09-02,168.3
2022-09-03,177.01
2022-09-04,175.64
2022-09-05,173.87
2022-09-06,198.05
2022-09-07,184.42
2022-09-08,167.72
2022-09-09,189.44
2022-09-10,201.39
2022-09-11,190.39
2022-09-12,164.75
2022-09-13,174.96
2022-09-14,192.31
2022-09-15,172.39
2022-09-16,183.71
2022-09-17,186.8
2022-09-18,169.56
2022-09-19,178.0
2022-09-20,145.92
2022-09-21,167.82
2022-09-22,175.26
2022-09-23,165.01
2022-09-24,193.5
2022-09-25,162.55
2022-09-26,172.12
2022-09-27,177.49
2022-09-28,190.24
2022-09-29,161.11
2022-09-30,186.73
2022-10-01,174.82
2022-10-02,164.52
2022-10-03,178.56
2022-10-04,175.53
2022-10-05,167.14
2022-10-06,173.43
2022-10-07,168.47
2022-10-08,173.05
2022-10-09,178.12
2022-10-10,186.94
2022-10-11,158.29
2022-10-12,191.58
2022-10-13,150.32
2022-10-14,167.9
2022-10-15,174.89
2022-10-16,171.41
2022-10-17,161.97
2022-10-18,165.72
2022-10-19,162.48
2022-10-20,161.12
2022-10-21,175.13
2022-10-22,169.83
2022-10-23,158.97
2022-10-24,174.54
2022-10-25,168.27
2022-10-26,172.98
2022-10-27,170.82
2022-10-28,155.92
2022-10-29,158.31
2022-10-30,171.09
2022-10-31,169.45
2022-11-01,162.87
2022-11-02,164.01
2022-11-03,175.37
2022-11-04,156.46
2022-11-05,167.65
2022-11-06,159.97
2022-11-07,159.65
2022-11-08,172.66
2022-11-09,169.8
2022-11-10,169.56
2022-11-11,174.39
2022-11-12,161.46
2022-11-13,168.02
2022-11-14,158.06
2022-11-15,164.39
2022-11-16,159.85
2022-11-17,162.14
2022-11-18,167.17
2022-11-19,153.1
2022-11-20,182.3
2022-11-21,151.42
2022-11-22,149.47
2022-11-23,173.35
2022-11-24,169.86
2022-11-25,168.38
2022-11-26,168.64
2022-11-27,162.48
2022-11-28,153.9
2022-11-29,163.91
2022-11-30,156.69
2022-12-01,173.55
2022-12-02,162.68
2022-12-03,156.27
2022-12-04,161.7
2022-12-05,169.47
2022-12-06,160.14
2022-12-07,158.01
2022-12-08,169.15
2022-12-09,169.67
2022-12-10,162.67
2022-12-11,163.58
2022-12-12,171.17
2022-12-13,154.95
2022-12-14,155.96
2022-12-15,163.47
2022-12-16,169.16
2022-12-17,175.06
2022-12-18,187.37
2022-12-19,181.89
2022-12-20,172.42
2022-12-21,174.55
2022-12-22,165.45
2022-12-23,176.05
2022-12-24,174.11
2022-12-25,181.01
2022-12-26,170.3
2022-12-27,184.57
2022-12-28,195.53
2022-12-29,179.94
2022-12-30,185.89
2022-12-31,189.62
2023-01-01,179.57
2023-01-02,186.69
2023-01-03,185.45
2023-01-04,187.19
2023-01-05,179.37
2023-01-06,188.24
2023-01-07,193.88
2023-01-08,204.32
2023-01-09,200.31
2023-01-10,213.16
2023-01-11,184.87
2023-01-12,202.18
2023-01-13,196.21
2023-01-14,217.19
2023-01-15,188.12
2023-01-16,188.72
2023-01-17,192.04
2023-01-18,177.7
2023-01-19,194.59
2023-01-20,193.16
2023-01-21,203.15
2023-01-22,205.95
2023-01-23,222.18
2023-01-24,213.8
2023-01-25,199.4
2023-01-26,197.04
2023-01-27,211.8
2023-01-28,194.51
2023-01-29,226.86
2023-01-30,221.16
2023-01-31,205.48
2023-02-01,193.83
2023-02-02,225.28
2023-02-03,211.37
2023-02-04,225.64
2023-02-05,198.06
2023-02-06,208.73
2023-02-07,215.49
2023-02-08,216.59
2023-02-09,212.3
2023-02-10,223.68
2023-02-11,207.41
2023-02-12,217.29
2023-02-13,220.51
2023-02-14,225.04
2023-02-15,227.57
2023-02-16,209.75
2023-02-17,206.18
2023-02-18,234.8
2023-02-19,225.83
2023-02-20,215.48
2023-02-21,238.91
2023-02-22,224.98
2023-02-23,236.01
2023-02-24,225.27
2023-02-25,245.55
2023-02-26,242.83
2023-02-27,223.09
2023-02-28,235.58
2023-03-01,232.59
2023-03-02,240.06
2023-03-03,216.94
2023-03-04,233.65
2023-03-05,237.55
2023-03-06,209.53
2023-03-07,215.42
2023-03-08,206.97
2023-03-09,224.75
2023-03-10,234.69
2023-03-11,242.58
2023-03-12,228.32
2023-03-13,243.87
2023-03-14,213.77
2023-03-15,210.5
2023-03-16,226.92
2023-03-17,231.24
2023-03-18,226.98
2023-03-19,206.51
2023-03-20,226.16
2023-03-21,213.86
2023-03-22,233.43
2023-03-23,230.22
2023-03-24,216.95
2023-03-25,220.99
2023-03-26,215.3
2023-03-27,225.02
2023-03-28,234.93
2023-03-29,215.25
2023-03-30,229.86
2023-03-31,219.21
2023-04-01,216.27
2023-04-02,222.8
2023-04-03,213.18
2023-04-04,217.65
2023-04-05,210.85
2023-04-06,242.11
2023-04-07,222.44
2023-04-08,214.71
2023-04-09,223.46
2023-04-10,219.8
2023-04-11,218.32
2023-04-12,226.26
2023-04-13,227.29
2023-04-14,214.0
2023-04-15,213.13
2023-04-16,215.72
2023-04-17,195.04
2023-04-18,202.49
2023-04-19,230.89
2023-04-20,233.26
2023-04-21,213.91
2023-04-22,221.75
2023-04-23,218.69
2023-04-24,245.97
2023-04-25,225.98
2023-04-26,213.11
2023-04-27,204.45
2023-04-28,197.57
2023-04-29,215.29
2023-04-30,205.33
2023-05-01,198.32
2023-05-02,205.74
2023-05-03,201.06
2023-05-04,228.42
2023-05-05,220.06
2023-05-06,210.87
2023-05-07,225.46
2023-05-08,211.17
2023-05-09,201.52
2023-05-10,225.13
2023-05-11,215.06
2023-05-12,199.09
2023-05-13,207.36
2023-05-14,200.33
2023-05-15,195.1
2023-05-16,218.05
2023-05-17,227.76
2023-05-18,194.57
2023-05-19,214.1
2023-05-20,201.9
2023-05-21,203.49
2023-05-22,202.41
2023-05-23,199.69
2023-05-24,208.83
2023-05-25,200.07
2023-05-26,211.14
2023-05-27,208.01
2023-05-28,206.22
2023-05-29,199.65
2023-05-30,203.1
2023-05-31,216.59
2023-06-01,214.23
2023-06-02,199.66
2023-06-03,210.66
2023-06-04,217.43
2023-06-05,193.5
2023-06-06,215.92
2023-06-07,204.18
2023-06-08,216.86
2023-06-09,203.88
2023-06-10,193.85
2023-06-11,196.03
2023-06-12,213.22
2023-06-13,215.79
2023-06-14,204.62
2023-06-15,220.54
2023-06-16,198.05
2023-06-17,214.54
2023-06-18,203.64
2023-06-19,209.8
2023-06-20,217.39
2023-06-21,208.92
2023-06-22,214.31
2023-06-23,228.87
2023-06-24,213.7
2023-06-25,228.51
2023-06-26,209.55
2023-06-27,226.86
2023-06-28,236.71
2023-06-29,198.32
2023-06-30,215.83
2023-07-01,230.34
2023-07-02,223.33
2023-07-03,229.87
2023-07-04,220.94
2023-07-05,228.67
2023-07-06,227.08
2023-07-07,241.16
2023-07-08,232.88
2023-07-09,234.58
2023-07-10,227.96
2023-07-11,228.08
2023-07-12,229.52
2023-07-13,238.68
2023-07-14,231.42
2023-07-15,239.44
2023-07-16,258.2
2023-07-17,247.07
2023-07-18,236.01
2023-07-19,252.2
2023-07-20,237.02
2023-07-21,221.64
2023-07-22,232.85
2023-07-23,225.14
2023-07-24,241.25
2023-07-25,245.86
2023-07-26,263.35
2023-07-27,250.76
2023-07-28,246.19
2023-07-29,257.57
2023-07-30,228.06
2023-07-31,253.4
2023-08-01,259.63
2023-08-02,238.0
2023-08-03,265.08
2023-08-04,257.87
2023-08-05,251.17
2023-08-06,262.47
2023-08-07,279.66
2023-08-08,259.58
2023-08-09,261.03
2023-08-10,254.72
2023-08-11,251.58
2023-08-12,269.13
2023-08-13,252.99
2023-08-14,262.98
2023-08-15,258.19
2023-08-16,268.44
2023-08-17,267.65
2023-08-18,275.33
2023-08-19,260.49
2023-08-20,263.5
2023-08-21,257.0
2023-08-22,262.92
2023-08-23,271.69
2023-08-24,276.02
2023-08-25,259.74
2023-08-26,278.15
2023-08-27,283.48
2023-08-28,274.51
2023-08-29,289.57
2023-08-30,263.47
2023-08-31,259.14
2023-09-01,254.17
2023-09-02,287.26
2023-09-03,279.16
2023-09-04,272.36
2023-09-05,275.99
2023-09-06,262.19
2023-09-07,298.13
2023-09-08,275.17
2023-09-09,275.16
2023-09-10,281.49
2023-09-11,279.18
2023-09-12,276.73
2023-09-13,266.69
2023-09-14,279.38
2023-09-15,293.54
2023-09-16,288.21
2023-09-17,290.7
2023-09-18,269.65
2023-09-19,264.84
2023-09-20,273.43
2023-09-21,275.18
2023-09-22,285.48
2023-09-23,257.51
2023-09-24,289.6
2023-09-25,272.58
2023-09-26,269.74
2023-09-27,263.71
2023-09-28,257.08
2023-09-29,281.65
2023-09-30,273.93
2023-10-01,260.05
2023-10-02,259.75
2023-10-03,269.07
2023-10-04,288.83
2023-10-05,269.25
2023-10-06,256.51
2023-10-07,268.76
2023-10-08,268.16
2023-10-09,243.57
2023-10-10,269.65
2023-10-11,267.52
2023-10-12,276.42
2023-10-13,287.57
2023-10-14,279.96
2023-10-15,265.61
2023-10-16,256.84
2023-10-17,293.24
2023-10-18,267.69
2023-10-19,266.83
2023-10-20,266.03
2023-10-21,267.84
2023-10-22,264.0
2023-10-23,259.29
2023-10-24,259.14
2023-10-25,263.87
2023-10-26,258.35
2023-10-27,256.25
2023-10-28,264.03
2023-10-29,260.01
2023-10-30,277.2
2023-10-31,235.26
2023-11-01,272.3
2023-11-02,273.46
2023-11-03,239.89
2023-11-04,256.83
2023-11-05,256.19
2023-11-06,245.48
2023-11-07,251.44
2023-11-08,247.79
2023-11-09,276.1
2023-11-10,267.63
2023-11-11,270.7
2023-11-12,264.92
2023-11-13,246.15
2023-11-14,251.95
2023-11-15,261.86
2023-11-16,244.52
2023-11-17,263.67
2023-11-18,253.95
2023-11-19,252.44
2023-11-20,263.15
2023-11-21,260.35
2023-11-22,252.18
2023-11-23,267.29
2023-11-24,244.81
2023-11-25,261.72
2023-11-26,261.46
2023-11-27,252.41
2023-11-28,258.77
2023-11-29,243.03
2023-11-30,264.82
2023-12-01,253.8
2023-12-02,250.51
2023-12-03,266.34
2023-12-04,248.94
2023-12-05,242.05
2023-12-06,240.74
2023-12-07,262.57
2023-12-08,243.92
2023-12-09,274.52
2023-12-10,236.42
2023-12-11,274.49
2023-12-12,259.94
2023-12-13,257.2
2023-12-14,253.07
2023-12-15,262.88
2023-12-16,258.91
2023-12-17,270.74
2023-12-18,261.29
2023-12-19,262.11
2023-12-20,257.45
2023-12-21,261.02
2023-12-22,265.19
2023-12-23,245.56
2023-12-24,249.74
2023-12-25,271.23
2023-12-26,266.11
2023-12-27,263.18
2023-12-28,265.85
2023-12-29,269.79
2023-12-30,261.59
2023-12-31,259.9
2024-01-01,270.35
2024-01-02,259.33
2024-01-03,273.93
2024-01-04,253.58
2024-01-05,281.66
2024-01-06,276.88
2024-01-07,275.51
2024-01-08,283.58
2024-01-09,291.23
2024-01-10,285.55
2024-01-11,257.84
2024-01-12,264.3
2024-01-13,271.71
2024-01-14,279.08
2024-01-15,284.88
2024-01-16,273.33
2024-01-17,283.34
2024-01-18,274.82
2024-01-19,277.16
2024-01-20,270.11
2024-01-21,275.86
2024-01-22,272.48
2024-01-23,277.16
2024-01-24,298.37
2024-01-25,279.25
2024-01-26,315.99
2024-01-27,295.51
2024-01-28,293.34
2024-01-29,283.82
2024-01-30,300.32
2024-01-31,288.47
2024-02-01,296.34
2024-02-02,321.62
2024-02-03,295.95
2024-02-04,309.29
2024-02-05,291.64
2024-02-06,299.19
2024-02-07,318.11
2024-02-08,294.98
2024-02-09,320.21
2024-02-10,310.0
2024-02-11,298.11
2024-02-12,310.87
2024-02-13,315.06
2024-02-14,312.34
2024-02-15,291.18
2024-02-16,300.37
2024-02-17,305.9
2024-02-18,308.35
2024-02-19,316.01
2024-02-20,312.27
2024-02-21,297.81
2024-02-22,315.63
2024-02-23,318.57
2024-02-24,318.68
2024-02-25,324.49
2024-02-26,322.6
2024-02-27,319.42
2024-02-28,314.67
2024-02-29,299.28
2024-03-01,320.69
2024-03-02,318.95
2024-03-03,320.05
2024-03-04,305.0
2024-03-05,307.38
2024-03-06,329.12
2024-03-07,318.56
2024-03-08,326.13
2024-03-09,319.93
2024-03-10,320.25
